編號,類型,資料來源,傳送者,內容,是否詐騙(1詐騙2否),解析,delta_auth_權威分,delta_time_時間分,delta_style_風格分,delta_motive_獎懲分,tech_score_科技指標
26,貸款服務,LLM_Generate,勞工紓困貨款,恭喜獲得10萬核准額度，請先轉帳保證金啟動撥款。,1,詐騙 — 要求預付款典型手法  ,0,0,0,0,0
27,貸款服務,TRUE,玉山銀行,"【恭喜獲得限時獨家好禮~】玉山銀行二順位房貸免轉貸，3月底前享「貸款費用現省2,000元」優惠，限本人憑簡訊申請，轉寄無效！總費用年百分率2.68%起。了解更多： http://www.esunbank.com.tw/event/loan/house/s/H15.html",2,真實簡訊,2,2,2,2,1
28,獎勵優惠,LLM_Generate,全聯福利中心,恭喜獲得消費滿額回饋金，請點此登錄領取：pxpay-event.com.tw,1,詐騙 — 假冒活動網站  ,0,0,2,2,1
29,獎勵優惠,LLM_Generate,中華電信,限時贈送網路流量，立即登入 hinet-promo.co 領取！,1,詐騙 — 假冒優惠連結  ,2,2,2,2,1
30,獎勵優惠,LLM_Generate,屈臣氏,屈臣氏會員日，本週消費滿額可於門市兌換贈品。,2,合法示例 — 合法店內活動  ,0,0,0,0,0
31,金融機構,LLM_Generate,中國信託,您信用卡積分即將到期，請登入 ctbc-reward.com.tw 延長積分有效期。,1,詐騙 — 假積分網站  ,0,2,2,0,1
32,金融機構,LLM_Generate,元大銀行,元大銀行提醒：如非本人操作請立即撥客服(02)2181-1111。,2,合法示例 — 含官方電話  ,2,2,0,0,0
33,金融機構,LLM_Generate,第一銀行,您的網銀登入異常，請回覆「Y」以重新開通服務。,1,詐騙 — 要求回覆字元屬誘導行為  ,2,0,0,2,0
34,政府機構,LLM_Generate,健保署,健保署：健保卡功能異常，請登入 nhib-update.tw 修正資料。,1,詐騙 — 冒用健保署名義  ,0,0,2,2,1
35,政府機構,LLM_Generate,環保署,您環保補助資料缺件，請即刻登入 gov-green.org.tw 補登。,1,詐騙 — 假補助網站  ,0,0,2,0,1
36,政府機構,TRUE,北市停管處,060-北市停管處於1140906開立NDQ-9445停車單，查繳請點https://parkingfee.pma.gov.taipei,2,真實簡訊,0,0,2,0,1
37,電商平台,LLM_Generate,LINE購物,您獲得LINE購物回饋金，請點 link-twlinebonus.com 領取。,1,詐騙 — 假冒LINE活動  ,0,0,2,2,1
38,電商平台,LLM_Generate,蝦皮商城,蝦皮：退款作業需重新輸入卡號，請立即前往 shopee-return.tw,1,詐騙 — 要求輸入卡號資料  ,0,2,2,0,1
39,電商平台,LLM_Generate,全家店到店,包裹已抵達門市，請開啟官方APP查看取件條碼。,2,合法示例 — 官方取件流程  ,0,0,0,0,0
40,貸款服務,LLM_Generate,板信商銀,系統核貸通過，請繳手續費$300以啟動撥款程序。,1,詐騙 — 要求先付費啟動  ,2,0,0,0,0
41,貸款服務,LLM_Generate,台灣銀行,您的信用評分不足，請提供銀行存摺影本以完成核對。,1,詐騙 — 要求提供個資  ,2,0,0,0,0
42,貸款服務,LLM_Generate,合作金庫,您的貸款文件已審核，請攜證件親洽分行簽約。,2,合法示例 — 正規程序  ,0,0,0,2,0
43,獎勵優惠,LLM_Generate,王品牛排,王品會員抽獎中獎通知，請填寫信用卡號確認身份：vipaward-tw.com,1,詐騙 — 要求卡號資料  ,0,0,2,2,1
44,獎勵優惠,LLM_Generate,寶雅,您獲得限量優惠券，請於24小時內點擊 po-ya-promo.net 領取。,1,詐騙 — 假冒品牌活動  ,0,2,2,2,1
45,獎勵優惠,LLM_Generate,誠品書店,誠品會員生日禮即日起至門市兌換，出示簡訊即可。,2,合法示例 — 正規會員活動  ,0,0,0,0,0
46,金融機構,LLM_Generate,臺灣土地銀行,您的貸款月付異常，請登入 landbank-tw-check.com 核對資料。,1,詐騙 — 假冒銀行連結  ,2,0,2,2,1
47,金融機構,LLM_Generate,彰化銀行,彰銀通知：帳戶異常登入，若非本人請立即回覆「確認」。,1,詐騙 — 誘導回覆簡訊  ,2,2,0,2,0
48,金融機構,TRUE,中國信託,中國信託祝您新春愉快。點燃生命之火已幫助58萬名弱勢兒童，邀您持續給予翻轉人生的力量 https://ctbc.tw/eV5HUU,2,真實簡訊,0,0,2,0,1
49,政府機構,LLM_Generate,勞動部,您可申請就業補助金，請至 labor-paygov.tw 確認資料。,1,詐騙 — 冒用勞動部名義  ,0,0,2,0,1
50,政府機構,LLM_Generate,地政事務所,地政登記異常，請立即回覆身分證字號以修正。,1,詐騙 — 要求個資  ,0,2,0,2,0
51,政府機構,LLM_Generate,交通部,提醒：若收到車輛罰單簡訊，請僅透過官方網站查詢繳費。,2,合法示例 — 正規查詢途徑  ,0,0,0,0,0
52,電商平台,LLM_Generate,7-11取貨,包裹暫存即將逾期，請登入 7pickup-tw.com 重新預約。,1,詐騙 — 假取貨連結  ,0,2,2,0,1
53,電商平台,LLM_Generate,Amazon台灣,跨境包裹稅款未繳，請立即繳納以免退件：amazon-taxpay.com.tw,1,詐騙 — 冒用品牌與假稅務連結  ,0,2,2,2,1
54,電商平台,LLM_Generate,蝦皮購物,蝦皮提醒：退款進度可於APP內>我的訂單查詢。,2,合法示例 — 正規APP提醒  ,0,0,0,0,0
55,貸款服務,LLM_Generate,速現金,貸款通過！請先繳交開戶費用$500以完成手續。,1,詐騙 — 要求預付費用  ,0,0,0,2,0
56,貸款服務,LLM_Generate,民間貸款網,立即貸出免審核，輸入帳號即可撥款：www.easyloan.com.tw,1,詐騙 — 可疑外部網站  ,0,2,2,0,1
57,貸款服務,TRUE,中信銀行,【中信銀房貸限時優惠】房貸轉增貸享優惠年利率，額度最高85成，詳 https://ctbc.tw/BTSMS8 若有疑慮洽本行客服,2,真實簡訊,2,2,2,2,1
58,獎勵優惠,LLM_Generate,家樂福,恭喜獲得$1000購物金，請登入 carrefour-prize.com.tw 領取！,1,詐騙 — 假活動網站  ,0,0,2,2,1
59,獎勵優惠,LLM_Generate,統一超商,限時抽獎通知：請回覆「確認」以完成登錄。,1,詐騙 — 要求回覆互動簡訊  ,0,2,0,2,0
60,獎勵優惠,LLM_Generate,寶島眼鏡,寶島眼鏡週年慶，持簡訊至門市即可享折扣。,2,合法示例 — 合法行銷活動  ,0,0,0,0,0
61,假冒交友或戀愛關係,LLM_Generate,小美,嗨，我是最近參加活動認識的朋友，記得嗎？很高興能再聯絡上你！,2,這是一則朋友間正常的聯繫訊息，沒有任何詐騙的意圖。,0,0,0,0,0
62,假冒交友或戀愛關係,LLM_Generate,阿誠,嘿，最近都還好嗎？希望能跟你聊聊，聽說我們有共同的興趣！,2,這是一則正常的友誼聯絡，邀請對方交流興趣。,0,0,0,0,0
63,假冒交友或戀愛關係,LLM_Generate,小婷,昨天見到你真的很開心，希望我們可以再一起去看電影！,2,這是一則正常的戀愛訊息，表達對未來約會的期待。,0,0,0,0,0
64,假冒交友或戀愛關係,LLM_Generate,志宏,我覺得你真的是很特別的人，想更多了解你，這樣說會不會讓你不自在？,2,這是戀愛關係中的表達關心與情感發展的訊息。,0,0,0,0,0
65,假冒交友或戀愛關係,LLM_Generate,阿偉,你怎麼了？上次見面感覺你好像心情不好，要不要聊聊？,2,這是朋友之間關心對方情況的訊息，並無詐騙成分。,0,0,0,0,0
66,假冒交友或戀愛關係,LLM_Generate,阿玲,我今天試了你推薦的餐廳，真的很好吃！下次一起去吧！,2,朋友間的分享與邀約，屬於正常交友行為。,0,0,0,0,0
67,假冒交友或戀愛關係,LLM_Generate,佳君,最近忙嗎？我有些事情想和你談，找個時間出來聊聊吧！,2,戀愛中的正常聯繫，期待見面並談談未來。,0,0,0,0,0
68,假冒交友或戀愛關係,LLM_Generate,美玲,我聽說你最近去旅遊了，好像很開心，下次也可以一起去玩嗎？,2,朋友間的互相邀請，無詐騙意圖。,0,0,0,0,0
69,假冒交友或戀愛關係,LLM_Generate,李先生,妳好，我是某知名交友平台的配對專員，為了驗證你的個人資料，我們需要你提供銀行帳號來確認身份。,1,此為典型的詐騙訊息，要求提供銀行帳號以達到詐騙目的。,2,0,2,0,1
70,假冒交友或戀愛關係,LLM_Generate,Tony,親愛的，我最近剛認識你，真的覺得你很特別，但需要你先轉帳50元來完成我們的身份驗證。,1,此訊息利用戀愛關係進行詐騙，要求轉帳來進行所謂的“身份驗證”。,0,0,2,0,1
71,假冒交友或戀愛關係,LLM_Generate,小偉,你有可能中了我們的抽獎活動，恭喜你！但需要先支付一筆費用才能領取獎品。,1,詐騙手法，通過假冒抽獎活動要求支付費用。,0,0,0,2,0
72,假冒交友或戀愛關係,LLM_Generate,可欣,你想認識我嗎？我現在在国外，非常想與你見面，但需要你先付款來幫我解決一些困難。,1,這類訊息以戀愛為幌子要求對方支付費用，屬於典型的詐騙行為。,0,0,0,0,0
73,假冒親友或家人,LLM_Generate,媽媽,寶貝，今天我買了你最愛的水果，等你回來一起吃！,2,這是媽媽正常的關心與邀約，沒有詐騙意圖。,0,0,0,0,0
74,假冒親友或家人,LLM_Generate,爸爸,今天在超市看到你喜歡的零食，我放在冰箱裡，記得拿去吃哦！,2,這是爸爸與孩子之間正常的互動，屬於家庭生活中的親切關懷。,0,0,0,0,0
75,假冒親友或家人,LLM_Generate,哥哥,嘿，記得今天晚上一起吃飯，約好很久了，別忘了！,2,這是哥哥提醒的正常家庭聚會訊息。,0,0,0,0,0
76,假冒親友或家人,LLM_Generate,妹妹,我把你的衣服洗乾淨了，放在我的房間裡，記得拿回來！,2,妹妹幫忙洗衣服並提醒的訊息，屬於家庭間的互助行為。,0,0,0,0,0
77,假冒親友或家人,LLM_Generate,姐姐,今天幫你拿到了你需要的文件，明天交給你！,2,姐姐正常地幫忙辦事並告知對方。,0,0,0,0,0
78,假冒親友或家人,LLM_Generate,姑姑,最近一切都還好嗎？下次有空一起來家裡聚一聚！,2,這是正常的親戚關係中，邀請對方見面的訊息。,0,0,0,0,0
79,假冒親友或家人,LLM_Generate,表姐,記得明天要幫我拿一下包裹，我不在家！,2,表姐請求協助收取包裹，屬於正常請求。,0,0,0,0,0
80,假冒親友或家人,LLM_Generate,媽媽,寶貝，晚上有空嗎？我想請你一起吃個晚餐，聊聊近況。,2,媽媽邀請孩子一起用餐的正常情感交流。,0,0,0,0,0
81,假冒親友或家人,LLM_Generate,爸爸,寶貝，我的手機壞了，現在不能接聽電話，請匯款5000元來給我修理！,1,這是典型的詐騙手法，假冒家人要求轉帳金額進行所謂的“手機修理”。,0,0,0,0,0
82,假冒親友或家人,LLM_Generate,姐姐,我現在在外地遇到點麻煩，需要你匯款2000元過來幫我度過困難，謝謝！,1,詐騙分子假冒姐姐要求匯款，利用情感操控。,0,0,0,0,0
83,假冒親友或家人,LLM_Generate,媽媽,我在銀行卡裡發現了一筆可疑款項，為了安全起見請你轉帳到新的帳戶以保護資金安全。,1,這是利用銀行詐騙手法，要求轉帳以“保護資金”。,2,0,0,2,0
84,假冒親友或家人,LLM_Generate,哥哥,我現在有點急需用錢，能不能幫我匯款一筆，稍後會還給你！,1,詐騙訊息假冒哥哥要求匯款，利用家庭關係操縱情感。,0,0,0,0,0
85,假冒中獎或抽獎,LLM_Generate,全聯,恭喜您獲得全聯最新抽獎活動的禮券，快來門市領取您的獎品！,2,這是全聯的合法促銷活動，通知獲獎者領取禮券。,0,0,0,2,0
86,假冒中獎或抽獎,LLM_Generate,7月11日,恭喜您在7-11的抽獎活動中獲得500元購物金！快來門市領取！,2,這是7-11的真實抽獎活動通知，鼓勵消費者領取獎品。,0,0,0,2,0
87,假冒中獎或抽獎,LLM_Generate,台灣大哥大,您參與的「2025台灣大哥大年度大獎」抽獎已經抽中，獎品是10000元現金，詳情請點擊此鏈接。,2,這是台灣大哥大的合法抽獎活動，通常會有額外的驗證步驟。,0,0,2,2,1
88,假冒中獎或抽獎,LLM_Generate,PChome,您在PChome的限時抽獎活動中贏得了最新款電子產品，請點擊鏈接確認領獎！,2,這是PChome真實的促銷活動，通知獲獎者領取產品。,2,2,2,2,1
89,假冒中獎或抽獎,LLM_Generate,富邦銀行,感謝您使用富邦行動銀行，您已中獎富邦抽獎活動的1000元禮券，請在7天內領取！,2,這是富邦銀行的合法抽獎活動通知，通知用戶領取獎品。,2,0,0,2,0
90,假冒中獎或抽獎,LLM_Generate,大潤發,您在大潤發的「周年慶中獎活動」中獲得了價值2000元的購物金，來店領取！,2,這是大潤發的真實抽獎活動，鼓勵消費者領獎。,0,0,0,2,0
91,假冒中獎或抽獎,LLM_Generate,華碩,恭喜您在華碩的「新春大抽獎」活動中獲得一台筆記型電腦！點擊此鏈接領取。,2,這是華碩的合法抽獎活動，真實的獎品領取通知。,0,0,2,2,1
92,假冒中獎或抽獎,LLM_Generate,LINE,恭喜您在LINE官方抽獎活動中獲得了一年免費訂閱！請點擊此處領取您的獎品。,2,這是LINE的真實抽獎活動，提醒用戶領取獎品。,0,0,2,2,1
93,假冒中獎或抽獎,LLM_Generate,小天使抽獎中心,恭喜您贏得了10萬元現金！為了領取您的獎金，請將1000元轉帳至指定帳戶以完成確認。,1,詐騙訊息以虛假的獎金為誘餌，要求匯款以「確認」獎金。,0,0,0,2,0
94,假冒中獎或抽獎,LLM_Generate,香港電視,恭喜您在香港電視的抽獎活動中獲得價值5萬的豪華轎車！請立即匯款3000元處理手續費。,1,詐騙訊息假冒抽獎通知，要求付款以「處理手續費」。,0,2,0,2,0
95,假冒中獎或抽獎,LLM_Generate,世界大獎活動,您贏得了我們的全球大獎，價值100萬元的房子！請先支付2000元確認獎品發送。,1,這是典型的詐騙訊息，要求先付款以領取虛假的高額獎品。,0,0,0,2,0
96,假冒中獎或抽獎,LLM_Generate,超級大獎公司,恭喜您中了超級大獎！獲得全球旅遊基金50萬，請點擊此鏈接並輸入您的銀行帳號。,1,詐騙訊息假冒中獎，要求提供銀行帳號以完成「領獎」程序。,2,0,2,2,1
97,假冒金融商品或投資機會,LLM_Generate,元大證券,感謝您使用元大證券平台，您的投資帳戶已成功開通，請開始進行股票交易！,2,這是元大證券的正規開戶通知，提醒用戶開通並開始交易。,0,0,0,2,0
98,假冒金融商品或投資機會,LLM_Generate,國泰投信,您在國泰投信選擇的基金已經順利入帳，現在可以查看您的投資組合！,2,這是國泰投信的正規投資通知，確認用戶基金投資進展。,2,0,0,2,0
99,假冒金融商品或投資機會,LLM_Generate,富邦證券,您在富邦證券的期貨帳戶開設成功，請開始操作期貨交易！,2,這是富邦證券的正式開戶通知，提醒用戶開始期貨交易。,0,0,0,0,0
100,假冒金融商品或投資機會,LLM_Generate,台新投信,台新投信的智能投資平台已經幫您配置最佳投資組合，您可以立即查詢。,2,這是台新投信的正規投資服務通知，確認用戶的投資策略配置。,0,2,0,2,0
101,假冒金融商品或投資機會,LLM_Generate,台灣銀行,您的投資帳戶已成功開設，並可透過網路銀行進行操作，享有更多專屬優惠！,2,這是台灣銀行的開戶通知，提供網路銀行投資服務。,2,0,0,2,0
102,假冒金融商品或投資機會,LLM_Generate,永豐金證券,您的投資組合已經根據最新市場動態進行了調整，請登入查看詳情。,2,這是永豐金證券的正式通知，確認投資組合已經調整。,0,0,0,2,0
103,假冒金融商品或投資機會,LLM_Generate,兆豐國際商業銀行,感謝您選擇兆豐國際商業銀行的儲蓄型保險產品，保單已成功生效！,2,這是兆豐國際商業銀行的保險產品生效通知，提供正規保險服務。,2,0,0,0,0
104,假冒金融商品或投資機會,LLM_Generate,第一金投信,您的第一金投信基金配置已經完成，現在可以開始查詢投資回報！,2,這是第一金投信的正式投資通知，告知用戶基金配置完成。,0,0,0,2,0
105,假冒金融商品或投資機會,LLM_Generate,比特幣高回報投資,恭喜您選中比特幣超高回報投資計劃，投資1萬元即可在7天內獲得10萬元回報！,1,詐騙訊息以虛假的獎金為誘餌，要求匯款以「確認」獎金。,0,0,0,2,0
106,假冒金融商品或投資機會,LLM_Generate,外匯投資公司,恭喜您被選為外匯投資計劃的VIP會員，請先匯款5萬元以啟動您的高收益外匯交易！,1,詐騙訊息假冒外匯公司，要求匯款以啟動虛假的交易計劃。,0,0,0,2,0
107,假冒金融商品或投資機會,LLM_Generate,華爾街基金會,現在投資股市只需5千元，並保證3個月內翻倍回報！點擊此鏈接立即投資！,1,這是詐騙訊息，承諾不切實際的回報，誘使受害者點擊鏈接並投資。,0,2,2,2,1
108,假冒金融商品或投資機會,LLM_Generate,快速賺錢計劃,立即加入我們的快速賺錢計劃，只需10分鐘，每日穩賺5000元！不要錯過！,1,這是典型的快速致富詐騙，承諾不切實際的高回報，誘使受害者投資。,0,2,0,2,0
109,假冒公務機關或法務機構,LLM_Generate,台灣稅務局,提醒您，您今年的稅單已經寄出，請至稅務局網站查詢並繳交。,2,這是台灣稅務局的正常通知，提醒納稅人查詢並繳納稅款。,2,0,0,0,0
110,假冒公務機關或法務機構,LLM_Generate,台灣法院,您於近日收到的案件通知書，請儘速聯繫法院確認您的出庭時間。,2,法院發出的正式通知，告知當事人需要確認出庭時間。,0,0,0,0,0
111,假冒公務機關或法務機構,LLM_Generate,內政部,您的戶籍資料需要更新，請至最近的戶政事務所辦理相關手續。,2,這是內政部的正式通知，提醒民眾更新戶籍資料。,0,0,2,0,1
112,假冒公務機關或法務機構,LLM_Generate,勞工局,您申請的勞保理賠已審核通過，請至勞工局領取您的理賠金額。,2,勞工局的正當通知，確認理賠款項已核發。,0,0,0,2,0
113,假冒公務機關或法務機構,LLM_Generate,台灣高等法院,您的上訴案件已被受理，請在規定期限內提交相關證據文件。,2,法院的正式通知，要求當事人提交案件證據。,0,0,0,0,0
114,假冒公務機關或法務機構,LLM_Generate,環保署,您的申請的環保許可證已經核發，請查收郵寄的許可證書。,2,這是環保署的正式通知，告知用戶許可證已核發。,0,0,0,0,0
115,假冒公務機關或法務機構,LLM_Generate,台灣司法機構,您在我機構登記的資料已經更新，請確認相關資料是否正確。,2,司法機構的合法通知，提醒民眾確認登記資料。,0,0,2,0,1
116,假冒公務機關或法務機構,LLM_Generate,台灣健保署,您近期的健保繳費狀況已更新，請至健保署網站查詢最新資訊。,2,健保署的正常通知，提醒用戶查詢健保繳費狀況。,0,0,2,0,1
117,假冒公務機關或法務機構,LLM_Generate,台灣法務部,您因未繳納罰款已被註冊為黑名單，請立即支付5000元以解除封鎖。,1,詐騙訊息假冒法務部，要求繳款以解除虛構的「封鎖」。,0,2,0,2,0
118,假冒公務機關或法務機構,LLM_Generate,台灣政府機構,您的身份資料被發現存在問題，請儘快匯款至指定帳戶以進行核實。,1,這是典型的詐騙手法，假冒政府機構要求匯款以進行身份核實。,0,0,0,0,0
119,假冒公務機關或法務機構,LLM_Generate,台灣司法局,您的案件涉及未繳納罰款，請立即透過此鏈接支付，否則將會面臨法律制裁。,1,詐騙訊息假冒司法機構，威脅法律制裁並要求付款。,0,2,0,2,0
120,假冒公務機關或法務機構,LLM_Generate,行政機構,您的社會福利補助金遭到凍結，請支付1000元手續費以解凍。,1,詐騙訊息以假冒行政機構為名，要求支付手續費解凍所謂的「社會福利補助金」。,0,0,0,0,0
121,假冒貸款服務,TRUE,婕希,過年紓困，10萬內來就借息低，保密，免抵押，杜絕詐騙10分鐘火速撥款電話 0928-494964 婕希LineID: aa4964,1,詐騙貸款服務，快速撥款為詐騙手段,0,0,0,0,0
122,假冒貸款服務,TRUE,Money66666,開工發財金 1-10萬線上審核 免碰面對保 3分鐘火速到帳 電話:0960-559161 Line:Money66666,1,宣稱快速貸款，無需面對面，通常為詐騙,0,0,0,0,0
123,假冒貸款服務,TRUE,婕希,線上審核 火速放款 輕鬆過件借過可再借 有工作免壓免保免照會本利攤還 拒絕高利 電話 0928-494964 婕希賴: aa4964,1,此為不明貸款服務，通常屬詐騙,0,0,0,2,0
124,假冒貸款服務,TRUE,林小姐,【低利率專案，每萬元月息100】小額週轉，疫情紓困，當日放款，免任何抵押，不必看人臉色，本利償還負擔低，洽0903-184-006林小姐,1,低利率貸款為常見的詐騙手法,0,0,0,2,0
125,假冒貸款服務,TRUE,Money66666,線上審核唯一首選 1-10萬免碰面對保 3分鐘火速到帳 電話:0960-559161 Line:Money66666,1,詐騙貸款服務，無需碰面,0,0,0,0,0
126,假冒貸款服務,TRUE,許經理,搶先登記！盛和租賃優利借，企業、個人長中期皆可借，300萬內2.88%起，專人當日服務放款，不押證件，備支票洽 04-22930223 許經理,1,假冒貸款服務，推銷高額借款,0,0,0,2,0
127,假冒貸款服務,TRUE,謝美妮,銀行不斷升息下多比較看看、潔軒經輕鬆借還，500萬資金內，還款彈性免押，當日放款，單一利率3.5%，備支票洽 04-22379380 謝美妮,1,宣稱無需押品及高額貸款的詐騙手段,2,0,0,2,0
128,假冒貸款服務,TRUE,莊經理,別讓債務拖垮你【資產理財】專辦銀行借款、整合債務、代償高利、350萬內資金當日到位，利率最低2.8%起，備支票 洽 04-22258008 莊經理,1,以低利率為誘餌，實為詐騙,2,0,0,0,0
129,假冒貸款服務,TRUE,周小姐,三大保證！(月息只要2%、可月繳季繳半年繳、撥款迅速) 國泰融資，您的唯一首選，持支客票500萬任您使用。洽：04-23170301 周小姐,1,貸款服務不實，無合法資金來源,2,0,0,0,0
130,假冒貸款服務,TRUE,金華租賃劉小姐,【資金週轉不求人】來就借，現撥款、備支票(低利2分) 專辦急件，歡迎正當生意人，30天一期可分期，洽(04)22060906 金華租賃劉小姐,1,宣稱快速撥款，實為詐騙貸款,0,0,0,0,0
131,假冒貸款服務,TRUE,吳經理,銀行不能借，我來協助您，首次貸款2成免息，500萬內銀行低率貸款專案，優惠每10萬元，月息2800，歡迎來電 04-22360320 吳經理,1,假冒貸款服務，以低利息為誘餌,2,0,0,2,0
132,假冒貸款服務,TRUE,李宜華,即刻$救援，急件300萬內，3hr內撥款，專辦中小企業、個人支票借款，月息2分，彈性還款、業務親辦單線服務，洽 04-23121872 李宜華,1,急件貸款詐騙，無合法基礎,0,0,0,0,0
