"term_id","term_text","term_category","is_scam"
73,電話製作筆錄,假冒機構詐騙,true
74,交付保證金,假冒機構詐騙,true
75,查封名下所有財產,假冒機構詐騙,true
76,您是人頭戶,假冒機構詐騙,true
77,配合調查,假冒機構詐騙,true
78,掛斷電話視為共犯,假冒機構詐騙,true
79,戶政事務所,假冒機構詐騙,true
80,您的身分被冒用,假冒機構詐騙,true
81,網路電信局,假冒機構詐騙,true
82,電話費欠繳,假冒機構詐騙,true
83,金管會,假冒機構詐騙,true
84,證明您的清白,假冒機構詐騙,true
85,提供帳戶讓我們監管,假冒機構詐騙,true
86,派員收款,假冒機構詐騙,true
87,書記官,假冒機構詐騙,true
88,法院專線,假冒機構詐騙,true
89,帳戶涉及詐欺,假冒機構詐騙,true
90,衛生局,假冒機構詐騙,true
91,違反防疫規定,假冒機構詐騙,true
92,監聽您的電話,假冒機構詐騙,true
93,您被通緝了,假冒機構詐騙,true
94,司法調查,假冒機構詐騙,true
95,國稅局,假冒機構詐騙,true
96,欠繳稅款,假冒機構詐騙,true
97,執行官,假冒機構詐騙,true
98,網內互打免費,假冒機構詐騙,true
99,不要告訴任何人,假冒機構詐騙,true
100,假公文,假冒機構詐騙,true
101,保持通話,假冒機構詐騙,true
102,戰地軍官,假愛情交友詐騙,true
103,跨國醫生,假愛情交友詐騙,true
104,海外石油工程師,假愛情交友詐騙,true
105,widowed (喪偶),假愛情交友詐騙,true
106,甜言蜜語,假愛情交友詐騙,true
107,從未視訊,假愛情交友詐騙,true
108,包裹卡在海關,假愛情交友詐騙,true
109,支付關稅,假愛情交友詐騙,true
110,一起投資虛擬貨幣,假愛情交友詐騙,true
111,我帶你賺錢,假愛情交友詐騙,true
112,共創我們的未來,假愛情交友詐騙,true
113,盜用網路帥哥美女照,假愛情交友詐騙,true
114,家人生病需要錢,假愛情交友詐騙,true
115,老公/老婆,假愛情交友詐騙,true
116,需要資金周轉,假愛情交友詐騙,true
117,購買機票來見你,假愛情交友詐騙,true
118,繼承大筆遺產,假愛情交友詐騙,true
119,交友軟體認識,假愛情交友詐騙,true
237,打字員,求職詐騙,true
120,幫我代收貨款,假愛情交友詐騙,true
121,我的帳戶被凍結,假愛情交友詐騙,true
122,賭博網站有漏洞,假愛情交友詐騙,true
123,寄送禮物給你,假愛情交友詐騙,true
124,聯合國維和部隊,假愛情交友詐騙,true
125,購買禮物卡,假愛情交友詐騙,true
126,索取私密照,假愛情交友詐騙,true
127,合夥投資生意,假愛情交友詐騙,true
128,我很孤單,假愛情交友詐騙,true
129,退休金被扣押,假愛情交友詐騙,true
130,戰亂地區,假愛情交友詐騙,true
131,只用訊息溝通,假愛情交友詐騙,true
132,迅速墜入愛河,假愛情交友詐騙,true
133,國際快遞,假愛情交友詐騙,true
134,幫我保管錢,假愛情交友詐騙,true
135,情感勒索,假愛情交友詐騙,true
136,認識不久就借錢,假愛情交友詐騙,true
137,投資黃金,假愛情交友詐騙,true
138,高階主管,假愛情交友詐騙,true
139,穩定交往後詐騙,假愛情交友詐騙,true
140,我很想你,假愛情交友詐騙,true
141,幫我一個小忙,假愛情交友詐騙,true
142,穩賺不賠,假投資詐騙,true
143,保證獲利,假投資詐騙,true
144,加入LINE投資群組,假投資詐騙,true
145,投資老師,假投資詐騙,true
146,飆股,假投資詐騙,true
147,無法出金,假投資詐騙,true
148,需繳納保證金,假投資詐騙,true
149,內線消息,假投資詐騙,true
150,代客操作,假投資詐騙,true
151,假冒的投資APP,假投資詐騙,true
152,獲利截圖,假投資詐騙,true
153,需繳交稅金才能領回,假投資詐騙,true
154,虛擬貨幣,假投資詐騙,true
155,USDT (泰達幣),假投資詐騙,true
156,抽中未上市股票,假投資詐騙,true
157,助理,假投資詐騙,true
158,平台維護中,假投資詐騙,true
159,帳戶遭凍結,假投資詐騙,true
160,需升級VIP會員,假投資詐騙,true
161,財富自由,假投資詐騙,true
162,被動收入,假投資詐騙,true
163,AI智能交易,假投資詐騙,true
164,量化交易,假投資詐騙,true
165,外匯保證金,假投資詐騙,true
166,期貨交易,假投資詐騙,true
167,數據有誤,假投資詐騙,true
168,投入更多資金解鎖,假投資詐騙,true
169,龐氏騙局,假投資詐騙,true
170,學員見證,假投資詐騙,true
171,報明牌,假投資詐騙,true
172,股票交流群,假投資詐騙,true
173,每日返利,假投資詐騙,true
174,零風險套利,假投資詐騙,true
175,搬磚,假投資詐騙,true
176,ICO (首次代幣發行),假投資詐騙,true
177,NFT投資,假投資詐騙,true
178,礦機,假投資詐騙,true
179,跟單操作,假投資詐騙,true
180,假投顧,假投資詐騙,true
181,掌握財富密碼,假投資詐騙,true
182,快速致富,假投資詐騙,true
183,鎖倉,假投資詐騙,true
184,質押挖礦,假投資詐騙,true
185,假交易所,假投資詐騙,true
186,老師帶你飛,假投資詐騙,true
187,一頁式廣告,假網路拍賣詐騙,true
188,貨到付款,假網路拍賣詐騙,true
189,幽靈包裹,假網路拍賣詐騙,true
190,商品與照片不符,假網路拍賣詐騙,true
191,價格遠低於市價,假網路拍賣詐騙,true
192,限時搶購,假網路拍賣詐騙,true
193,臉書廣告,假網路拍賣詐騙,true
194,倒數計時,假網路拍賣詐騙,true
195,免運費,假網路拍賣詐騙,true
196,聯繫不上賣家,假網路拍賣詐騙,true
197,無法退貨,假網路拍賣詐騙,true
198,要求用LINE私下交易,假網路拍賣詐騙,true
199,盜用名人推薦,假網路拍賣詐騙,true
200,評價造假,假網路拍賣詐騙,true
201,劣質仿冒品,假網路拍賣詐騙,true
202,海外出貨,假網路拍賣詐騙,true
203,清倉大拍賣,假網路拍賣詐騙,true
204,假客服,假網路拍賣詐騙,true
205,限量商品,假網路拍賣詐騙,true
206,團購主,假網路拍賣詐騙,true
207,假冒官方網站,假網路拍賣詐騙,true
208,超商取貨付款,假網路拍賣詐騙,true
209,網紅推薦,假網路拍賣詐騙,true
210,贈品,假網路拍賣詐騙,true
211,聯絡方式不明,假網路拍賣詐騙,true
212,語法不通順,假網路拍賣詐騙,true
213,使用簡體字,假網路拍賣詐騙,true
214,無實體店面,假網路拍賣詐騙,true
215,評論不實,假網路拍賣詐騙,true
216,先匯款後出貨,假網路拍賣詐騙,true
217,交易平台外溝通,假網路拍賣詐騙,true
218,假抽獎活動,假網路拍賣詐騙,true
219,代購,假網路拍賣詐騙,true
220,FB Marketplace,假網路拍賣詐騙,true
221,Instagram 購物,假網路拍賣詐騙,true
222,零元商品,假網路拍賣詐騙,true
223,貨物寄送中 (假查詢網站),假網路拍賣詐騙,true
224,盜用圖片,假網路拍賣詐騙,true
225,拒絕面交,假網路拍賣詐騙,true
226,全球唯一,假網路拍賣詐騙,true
227,海外高薪工作,求職詐騙,true
228,免經驗、高抽成,求職詐騙,true
229,寄送存摺提款卡,求職詐騙,true
230,繳交保證金,求職詐騙,true
231,刷單賺佣金,求職詐騙,true
232,人頭帳戶,求職詐騙,true
233,辦理貸款以美化財力,求職詐騙,true
234,繳交治裝費,求職詐騙,true
236,點讚員,求職詐騙,true
238,公司地址不明,求職詐騙,true
239,薪資高得不合理,求職詐騙,true
240,扣押身分證件,求職詐騙,true
241,提供帳戶密碼,求職詐騙,true
242,網路博弈客服,求職詐騙,true
243,柬埔寨,求職詐騙,true
244,緬甸KK園區,求職詐騙,true
245,錄取太輕易,求職詐騙,true
246,繳交訓練費,求職詐騙,true
247,購買公司產品,求職詐騙,true
248,簽署不合理合約,求職詐騙,true
249,在家工作,求職詐騙,true
250,兼職,求職詐騙,true
251,財務助理,求職詐騙,true
252,幫忙領錢,求職詐騙,true
253,租借帳戶,求職詐騙,true
254,輕鬆賺錢,求職詐騙,true
255,模特兒/演員,求職詐騙,true
256,試玩員,求職詐騙,true
257,面試地點在咖啡廳,求職詐騙,true
258,人事主管,求職詐騙,true
259,介紹朋友有獎金,求職詐騙,true
260,職位描述模糊,求職詐騙,true
261,只限線上應徵,求職詐騙,true
262,您的包裹已到站，請點此連結,網路釣魚詐騙,true
263,積分即將到期，請立即兌換,網路釣魚詐騙,true
264,eTag欠費通知,網路釣魚詐騙,true
265,帳號異常登入,網路釣魚詐騙,true
266,銀行帳戶已凍結,網路釣魚詐騙,true
267,汽燃費未繳,網路釣魚詐騙,true
268,罰單通知,網路釣魚詐騙,true
269,水電費尚未繳納,網路釣魚詐騙,true
270,請更新您的資料,網路釣魚詐騙,true
271,驗證您的身分,網路釣魚詐騙,true
272,好友輔助驗證,網路釣魚詐騙,true
273,掃描QR Code,網路釣魚詐騙,true
274,您的發票中獎了,網路釣魚詐騙,true
275,假冒的官方郵件,網路釣魚詐騙,true
276,假冒的釣魚簡訊,網路釣魚詐騙,true
277,系統升級,網路釣魚詐騙,true
278,信用卡異常消費,網路釣魚詐騙,true
279,帳號停權通知,網路釣魚詐騙,true
280,違反社群守則,網路釣魚詐騙,true
281,查看物流狀態,網路釣魚詐騙,true
282,補繳關稅,網路釣魚詐騙,true
283,遠端控制軟體,網路釣魚詐騙,true
284,共享螢幕,網路釣魚詐騙,true
285,要求提供驗證碼,網路釣魚詐騙,true
286,"網址拼寫錯誤 (e.g., Goog1e)",網路釣魚詐騙,true
287,假問卷調查,網路釣魚詐騙,true
288,填資料領贈品,網路釣魚詐騙,true
289,您的手機中毒了,網路釣魚詐騙,true
290,幣安帳戶驗證,網路釣魚詐騙,true
291,立即處理，否則…,網路釣魚詐騙,true
292,臉書擴充功能,網路釣魚詐騙,true
293,"假冒串流平台 (Netflix, Disney+)",網路釣魚詐騙,true
294,網路民調,網路釣魚詐騙,true
295,點讚賺錢,網路釣魚詐騙,true
296,緊急通知,網路釣魚詐騙,true
297,優惠活動,網路釣魚詐騙,true
298,訂閱已取消,網路釣魚詐騙,true
299,密碼即將過期,網路釣魚詐騙,true
300,非官方應用程式 (APK),網路釣魚詐騙,true
301,您的帳戶有安全風險,網路釣魚詐騙,true
302,工作人員操作錯誤,解除分期付款詐騙,true
303,誤設為VIP會員,解除分期付款詐騙,true
304,簽成批發商,解除分期付款詐騙,true
305,誤刷成12期,解除分期付款詐騙,true
306,請至ATM操作解除,解除分期付款詐騙,true
307,操作網路銀行,解除分期付款詐騙,true
309,假冒購物網站客服,解除分期付款詐騙,true
310,+886開頭的電話,解除分期付款詐騙,true
311,系統錯誤,解除分期付款詐騙,true
312,重複扣款,解除分期付款詐騙,true
313,提供信用卡背面的銀行電話,解除分期付款詐騙,true
314,購買遊戲點數沖銷,解除分期付款詐騙,true
315,這是為您好,解除分期付款詐騙,true
316,資料外洩,解除分期付款詐騙,true
317,訂單有誤,解除分期付款詐騙,true
318,核對身分,解除分期付款詐騙,true
319,輸入代碼,解除分期付款詐騙,true
320,將錢轉到安全帳戶,解除分期付款詐騙,true
321,辦理退款,解除分期付款詐騙,true
322,不要掛斷電話,解除分期付款詐騙,true
323,晚上12點扣款截止,解除分期付款詐騙,true
324,辨識碼,解除分期付款詐騙,true
325,回傳交易明細,解除分期付款詐騙,true
326,按步驟操作,解除分期付款詐騙,true
327,會計人員疏失,解除分期付款詐騙,true
328,唯一解決方法,解除分期付款詐騙,true
329,系統被駭,解除分期付款詐騙,true
330,賠償方案,解除分期付款詐騙,true
331,感謝您的配合,解除分期付款詐騙,true
332,我換LINE了,親友借貸詐騙,true
333,手機送修，用舊手機登入,親友借貸詐騙,true
334,幫我收個簡訊驗證碼,親友借貸詐騙,true
335,借錢應急,親友借貸詐騙,true
336,猜猜我是誰,親友借貸詐騙,true
337,這是我的新號碼,親友借貸詐騙,true
338,帳號被盜,親友借貸詐騙,true
339,幫我買遊戲點數,親友借貸詐騙,true
340,晚點就還你,親友借貸詐騙,true
341,家裡出事了,親友借貸詐騙,true
342,假冒的頭像和暱稱,親友借貸詐騙,true
343,不方便講電話,親友借貸詐騙,true
344,模仿語氣,親友借貸詐騙,true
345,我是你的老朋友,親友借貸詐騙,true
346,匯款到這個帳戶,親友借貸詐騙,true
347,輔助認證,親友借貸詐騙,true
348,發生意外,親友借貸詐騙,true
349,臉書 Messenger 私訊,親友借貸詐騙,true
350,Instagram 私訊,親友借貸詐騙,true
351,真的很急,親友借貸詐騙,true
352,假冒老闆/主管,親友借貸詐騙,true
353,廠商需要急款,親友借貸詐騙,true
354,團購付款,親友借貸詐騙,true
355,先不要跟別人說,親友借貸詐騙,true
356,裝熟,親友借貸詐騙,true
357,代繳費用,親友借貸詐騙,true
358,朋友開店，幫忙匯款,親友借貸詐騙,true
359,換手機，通訊錄沒了,親友借貸詐騙,true
360,投資周轉不靈,親友借貸詐騙,true
361,拜託了,親友借貸詐騙,true
362,私下交易,遊戲點數/虛擬寶物詐騙,true
363,低價出售裝備/虛寶,遊戲點數/虛擬寶物詐騙,true
364,帳號代練,遊戲點數/虛擬寶物詐騙,true
365,購買點數證明非機器人,遊戲點數/虛擬寶物詐騙,true
366,提供帳號密碼,遊戲點數/虛擬寶物詐騙,true
367,遊戲ID遭鎖定,遊戲點數/虛擬寶物詐騙,true
368,假冒遊戲官方人員,遊戲點數/虛擬寶物詐騙,true
369,假冒交易平台 (8591),遊戲點數/虛擬寶物詐騙,true
370,儲值回饋活動,遊戲點數/虛擬寶物詐騙,true
371,點數卡,遊戲點數/虛擬寶物詐騙,true
372,虛寶交易,遊戲點數/虛擬寶物詐騙,true
373,遊戲幣,遊戲點數/虛擬寶物詐騙,true
374,先給錢後給貨,遊戲點數/虛擬寶物詐騙,true
375,假冒玩家,遊戲點數/虛擬寶物詐騙,true
377,協助解鎖,遊戲點數/虛擬寶物詐騙,true
378,遊戲公會,遊戲點數/虛擬寶物詐騙,true
379,退坑出售帳號,遊戲點數/虛擬寶物詐騙,true
380,遊戲外掛,遊戲點數/虛擬寶物詐騙,true
381,假冒遊戲客服,遊戲點數/虛擬寶物詐騙,true
382,提供驗證碼,遊戲點數/虛擬寶物詐騙,true
383,便宜代儲,遊戲點數/虛擬寶物詐騙,true
384,網路交友要求買點數,遊戲點數/虛擬寶物詐騙,true
385,永久停權,遊戲點數/虛擬寶物詐騙,true
386,送虛寶,遊戲點數/虛擬寶物詐騙,true
387,遊戲直播,遊戲點數/虛擬寶物詐騙,true
388,騙取信任,遊戲點數/虛擬寶物詐騙,true
389,遊戲婚姻,遊戲點數/虛擬寶物詐騙,true
390,違反遊戲規章,遊戲點數/虛擬寶物詐騙,true
391,點擊不明連結,遊戲點數/虛擬寶物詐騙,true
392,恭喜您中獎,中獎/領獎詐騙,true
393,需先支付手續費,中獎/領獎詐騙,true
394,繳納稅金,中獎/領獎詐騙,true
395,提供個人資料,中獎/領獎詐騙,true
396,律師見證,中獎/領獎詐騙,true
397,活動已截止，需付費保留,中獎/領獎詐騙,true
398,海外獎項,中獎/領獎詐騙,true
399,刮刮樂,中獎/領獎詐騙,true
400,幸運得主,中獎/領獎詐騙,true
401,公司週年慶,中獎/領獎詐騙,true
402,公證費,中獎/領獎詐騙,true
403,郵寄費用,中獎/領獎詐騙,true
404,點擊連結領取,中獎/領獎詐騙,true
405,假冒知名品牌,中獎/領獎詐騙,true
406,領獎專線,中獎/領獎詐騙,true
407,提供銀行帳戶,中獎/領獎詐騙,true
408,逾期不候,中獎/領獎詐騙,true
409,"頭獎 (iPhone, 名車)",中獎/領獎詐騙,true
410,免費機票,中獎/領獎詐騙,true
411,帳戶錯誤，獎金被凍結,中獎/領獎詐騙,true
412,保險費,中獎/領獎詐騙,true
413,身份驗證費,中獎/領獎詐騙,true
414,最後機會,中獎/領獎詐騙,true
415,電視購物,中獎/領獎詐騙,true
416,隨機抽樣,中獎/領獎詐騙,true
417,抽獎活動,中獎/領獎詐騙,true
418,廣告簡訊,中獎/領獎詐騙,true
420,電子郵件通知,中獎/領獎詐騙,true
421,慈善機構捐款,中獎/領獎詐騙,true
422,免保人、免徵信,貸款/融資詐騙,true
423,保證過件,貸款/融資詐騙,true
424,快速放款,貸款/融資詐騙,true
425,證件借款,貸款/融資詐騙,true
426,需先繳納手續費,貸款/融資詐騙,true
427,美化信用紀錄,貸款/融資詐騙,true
428,假冒銀行,貸款/融資詐騙,true
429,利率極低,貸款/融資詐騙,true
430,信用瑕疵可辦,貸款/融資詐騙,true
432,代辦公司,貸款/融資詐騙,true
433,網路貸款,貸款/融資詐騙,true
435,資金包裝,貸款/融資詐騙,true
436,製造金流,貸款/融資詐騙,true
437,債務整合,貸款/融資詐騙,true
438,帳戶凍結，需保證金解凍,貸款/融資詐騙,true
439,無實體公司,貸款/融資詐騙,true
440,簡訊廣告,貸款/融資詐騙,true
441,臉書社團,貸款/融資詐騙,true
442,LINE聯繫,貸款/融資詐騙,true
444,簽訂不平等合約,貸款/融資詐騙,true
445,當日放款,貸款/融資詐騙,true
446,資料填寫錯誤,貸款/融資詐騙,true
447,高利貸,貸款/融資詐騙,true
448,撥款失敗,貸款/融資詐騙,true
449,投資型貸款,貸款/融資詐騙,true
450,只需身分證,貸款/融資詐騙,true
451,小額借款,貸款/融資詐騙,true
452,要求先買遊戲點數,色情應召詐騙,true
453,驗證你不是警察,色情應召詐騙,true
455,哥哥，這是我們的規矩,色情應召詐騙,true
456,不配合的話找兄弟處理,色情應召詐騙,true
457,你是不是在玩我？,色情應召詐騙,true
458,約在超商/捷運站見面,色情應召詐騙,true
459,車馬費,色情應召詐騙,true
460,LINE約砲,色情應召詐騙,true
461,你點的妹妹出事了,色情應召詐騙,true
462,妨礙風化,色情應召詐騙,true
463,我們有你的資料,色情應召詐騙,true
464,黑道威脅,色情應召詐騙,true
465,假茶莊,色情應召詐騙,true
466,入會費,色情應召詐騙,true
467,健康檢查費,色情應召詐騙,true
468,酒店公關,色情應召詐騙,true
469,按摩,色情應召詐騙,true
470,辦活動,色情應召詐騙,true
471,你這樣我會很難做,色情應召詐騙,true
472,搬磚套利,比特幣/加密貨幣詐騙,true
473,流動性挖礦,比特幣/加密貨幣詐騙,true
474,錢包授權,比特幣/加密貨幣詐騙,true
475,場外交易 (OTC),比特幣/加密貨幣詐騙,true
476,假交易所APP,比特幣/加密貨幣詐騙,true
477,無法提幣,比特幣/加密貨幣詐騙,true
478,質押 (Staking),比特幣/加密貨幣詐騙,true
479,帶單老師,比特幣/加密貨幣詐騙,true
480,合約交易,比特幣/加密貨幣詐騙,true
481,槓桿,比特幣/加密貨幣詐騙,true
482,幣商,比特幣/加密貨幣詐騙,true
483,錢包地址,比特幣/加密貨幣詐騙,true
484,智能合約,比特幣/加密貨幣詐騙,true
485,GameFi (邊玩邊賺),比特幣/加密貨幣詐騙,true
486,私鑰,比特幣/加密貨幣詐騙,true
487,助記詞,比特幣/加密貨幣詐騙,true
488,雲端挖礦,比特幣/加密貨幣詐騙,true
489,項目白皮書,比特幣/加密貨幣詐騙,true
490,新幣發行,比特幣/加密貨幣詐騙,true
491,提幣需要手續費,比特幣/加密貨幣詐騙,true
492,空投 (Airdrop),比特幣/加密貨幣詐騙,true
493,DeFi (去中心化金融),比特幣/加密貨幣詐騙,true
494,冷錢包,比特幣/加密貨幣詐騙,true
495,平台轉移,比特幣/加密貨幣詐騙,true
496,只漲不跌,比特幣/加密貨幣詐騙,true
497,儲值,比特幣/加密貨幣詐騙,true
498,穩健獲利,比特幣/加密貨幣詐騙,true
499,保證翻倍,比特幣/加密貨幣詐騙,true
500,避免追蹤,比特幣/加密貨幣詐騙,true
501,高額返利,比特幣/加密貨幣詐騙,true
502,假冒蝦皮,電商業者個資外洩,true
503,假冒momo,電商業者個資外洩,true
504,假冒PChome,電商業者個資外洩,true
505,假冒博客來,電商業者個資外洩,true
506,核對您的訂單,電商業者個資外洩,true
507,誤訂多筆商品,電商業者個資外洩,true
508,付款方式設定錯誤,電商業者個資外洩,true
509,訂單重複,電商業者個資外洩,true
510,升級成高級會員,電商業者個資外洩,true
511,這是我們的疏失,電商業者個資外洩,true
512,造成您的不便,電商業者個資外洩,true
513,將有銀行與您聯繫,電商業者個資外洩,true
514,核對身分證字號,電商業者個資外洩,true
515,網路購物,電商業者個資外洩,true
516,確認購買商品,電商業者個資外洩,true
517,賣家,電商業者個資外洩,true
518,宅配,電商業者個資外洩,true
519,黑貓宅急便,電商業者個資外洩,true
520,訂單編號,電商業者個資外洩,true
521,取消訂單,電商業者個資外洩,true
523,家庭代工 (串珠、貼紙),其它類型詐騙,true
524,購買材料包,其它類型詐騙,true
525,假冒名人/網紅,其它類型詐騙,true
526,領取免費貼圖,其它類型詐騙,true
527,股票申購抽籤,其它類型詐騙,true
528,互加LINE好友,其它類型詐騙,true
529,慈善捐款,其它類型詐騙,true
530,假冒租屋,其它類型詐騙,true
531,預付訂金,其它類型詐騙,true
532,寵物買賣,其它類型詐騙,true
533,疫苗預約,其它類型詐騙,true
534,疫情補助,其它類型詐騙,true
535,假問卷,其它類型詐騙,true
536,假投票,其它類型詐騙,true
537,點擊廣告,其它類型詐騙,true
538,觀看影片賺錢,其它類型詐騙,true
539,任務,其它類型詐騙,true
540,邀請碼,其它類型詐騙,true
541,假冒客服,其它類型詐騙,true
543,演唱會門票,其它類型詐騙,true
544,黃牛票,其它類型詐騙,true
545,假冒律師,其它類型詐騙,true
546,協助討回被騙款項,其它類型詐騙,true
547,駭客服務,其它類型詐騙,true
548,假的技術支援,其它類型詐騙,true
549,你的電腦有病毒,其它類型詐騙,true
550,領取紓困金,其它類型詐騙,true
551,訂閱服務,其它類型詐騙,true
552,健檢中心,其它類型詐騙,true
553,宗教靈修,其它類型詐騙,true
554,改運,其它類型詐騙,true
555,假車禍,其它類型詐騙,true
556,extortion (恐嚇取財),其它類型詐騙,true
557,停車費未繳,其它類型詐騙,true
558,假冒房東,其它類型詐騙,true
559,共享單車驗證,其它類型詐騙,true
560,求籤問卜,其它類型詐騙,true
561,影視投資,其它類型詐騙,true
562,官方網站,查詢/聯繫,false
563,客服電話,查詢/聯繫,false
564,服務時間,查詢/聯繫,false
565,立即查詢,查詢/聯繫,false
566,聯絡我們,查詢/聯繫,false
567,線上客服,查詢/聯繫,false
568,專人服務,服務/提醒,false
569,服務專線,查詢/聯繫,false
570,訂單已成立,購物/交易,false
572,已扣款,金融/交易,false
573,交易成功,金融/交易,false
574,刷卡消費,金融/交易,false
575,密碼變更通知,帳號/安全,false
576,網路銀行,金融/服務,false
577,帳單已寄出,帳務/通知,false
578,繳款截止日,帳務/通知,false
579,餘額不足,金融/交易,false
580,分期設定,金融/服務,false
581,信用卡明細,金融/交易,false
582,重新核發,金融/服務,false
583,簽帳金融卡,金融/服務,false
584,綁定成功,帳號/安全,false
585,門市取貨,物流/服務,false
586,包裹已到,物流/服務,false
587,貨件編號,物流/服務,false
588,宅配人員,物流/服務,false
589,重新配送,物流/服務,false
590,已出貨,物流/服務,false
591,運送中,物流/服務,false
592,超商取貨,物流/服務,false
593,預計送達,物流/服務,false
594,退貨申請,物流/服務,false
595,運費,物流/服務,false
596,門診時間,醫療/服務,false
597,健保署,政府/機構,false
598,繳費通知,帳務/通知,false
599,臨櫃辦理,服務/提醒,false
600,系統維護,服務/通知,false
601,資料更新,服務/通知,false
602,官方公告,政府/機構,false
604,掛號通知,醫療/服務,false
605,水費,帳務/通知,false
606,電費,帳務/通知,false
608,會員點數,會員/活動,false
609,折價券,會員/活動,false
610,專屬折扣,會員/活動,false
612,立即結帳,購物/交易,false
613,退貨政策,購物/交易,false
614,購物金,會員/活動,false
615,適用期限,會員/活動,false
616,專屬禮遇,會員/活動,false
617,會員等級,會員/活動,false
618,累積消費,會員/活動,false
619,登出,帳號/安全,false
620,帳號密碼,帳號/安全,false
621,完成設定,服務/通知,false
622,錯誤代碼,服務/通知,false
623,歡迎使用,服務/通知,false
624,您的代碼,服務/通知,false
625,最新消息,服務/通知,false
626,詳細資訊,查詢/聯繫,false
627,附件,訊息內容,false
628,請查收,訊息內容,false
629,感謝您的,訊息內容,false
630,謝謝您的支持,訊息內容,false
631,專線,查詢/聯繫,false
632,參考文件,訊息內容,false
633,點擊確認,服務/通知,false
634,線上申請,服務/通知,false
635,已審核,服務/通知,false
636,立即啟用,服務/通知,false
637,報稅,政府/機構,false
638,罰鍰,政府/機構,false
639,醫院,醫療/服務,false
640,門診,醫療/服務,false
641,預約成功,服務/通知,false
642,檢查報告,醫療/服務,false
643,領藥,醫療/服務,false
644,退款已完成,金融/交易,false
645,扣款失敗,金融/交易,false
646,補件,服務/通知,false
647,點擊查閱,查詢/聯繫,false
648,訊息通知,服務/通知,false
649,啟用,服務/通知,false
650,領取,服務/通知,false
651,相關規定,查詢/聯繫,false
652,專員,服務/聯繫,false
653,會員服務,服務/聯繫,false
654,帳務查詢,帳務/通知,false
655,請勿上當,安全/提醒,false
656,密碼錯誤,帳號/安全,false
657,正確資訊,查詢/聯繫,false
